Service,Category,Region,Base,Location,Month,Year,Amount,Base_clean,Base_core,Base_core_matched,Base_lat,Base_lon
Army,Revenue,Europe,Ansbach,Action Lanes,October,2019,59201,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,November,2019,35460,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,December,2019,46220,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,January,2020,-3084,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,February,2020,44116,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,March,2020,37220,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,April,2020,0,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,May,2020,0,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,June,2020,0,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,July,2020,18656,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,August,2020,7642,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Action Lanes,September,2020,27383,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,October,2019,10875,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,November,2019,8793,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,December,2019,20853,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,January,2020,8978,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,February,2020,27714,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,March,2020,15558,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,April,2020,0,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,May,2020,0,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,June,2020,0,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,July,2020,-1045,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,August,2020,3922,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Ansbach,Storck Barracks Bowl,September,2020,1990,ansbach,ansbach,ansbach,49.300425,10.571936
Army,Revenue,Europe,Baumholder,Strikers,October,2019,60666,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,November,2019,52445,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,December,2019,50635,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,January,2020,46799,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,February,2020,44816,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,March,2020,80374,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,April,2020,0,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,May,2020,0,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,June,2020,3546,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,July,2020,21368,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,August,2020,52127,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Baumholder,Strikers,September,2020,54648,baumholder,baumholder,baumholder,49.613889,7.333333
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,October,2019,64164,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,November,2019,19047,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,December,2019,5760,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,January,2020,59663,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,February,2020,7420,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,March,2020,555,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,April,2020,0,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,May,2020,0,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,June,2020,0,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,July,2020,32460,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,August,2020,8915,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Garmisch,Edelweiss Lodge Resort,September,2020,6246,garmisch,garmisch,garmisch,47.491695,11.095498
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,October,2019,101409,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,November,2019,41015,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,December,2019,55535,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,January,2020,58685,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,February,2020,73312,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,March,2020,45411,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,April,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,May,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,June,2020,-2629,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,July,2020,79289,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,August,2020,55437,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Entertainment Center Graf.,September,2020,34024,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,October,2019,10416,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,November,2019,11188,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,December,2019,9258,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,January,2020,19369,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,February,2020,10612,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,March,2020,9380,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,April,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,May,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,June,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,July,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,August,2020,-2050,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Vilseck Bowl,September,2020,8250,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,October,2019,111185,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,November,2019,105485,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,December,2019,86789,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,January,2020,89181,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,February,2020,99798,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,March,2020,59248,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,April,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,May,2020,0,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,June,2020,-5719,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,July,2020,69068,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,August,2020,37365,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Langenbruck Center,September,2020,15871,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,October,2019,20704,grafenwoehr,grafenwoehr,,49.714147,11.905874
Army,Revenue,Europe,Grafenwoehr,Algiers Recreation Center,November,2019,8716,grafenwoehr,grafenwoehr,,49.714147,11.905874
