
Page,Loc #,Location,Month,Revenue,NAFI Amt,Annual Revenue,Annual NAFI,Y,X
2,3163,Camp Mujuk Center,Oct-17,844.0,675.2,,,35.96,129.42611
2,3163,Camp Mujuk Center,Nov-17,1048.0,838.4,,,35.96,129.42611
2,3163,Camp Mujuk Center,Dec-17,700.0,560.0,,,35.96,129.42611
2,3163,Camp Mujuk Center,Jan-18,32.0,25.6,,,35.96,129.42611
2,3163,Camp Mujuk Center,Feb-18,238.95,191.15,,,35.96,129.42611
2,3163,Camp Mujuk Center,Mar-18,1492.0,1193.6,,,35.96,129.42611
2,3163,Camp Mujuk Center,May-18,788.75,631.0,,,35.96,129.42611
2,3163,Camp Mujuk Center,Jun-18,345.0,276.0,,,35.96,129.42611
2,3163,Camp Mujuk Center,Sep-18,329.0,263.2,5817.7,4654.15,35.96,129.42611
2,3163,Camp Mujuk Center,Oct-18,10.0,8.0,,,35.96,129.42611
2,3163,Camp Mujuk Center,Nov-18,343.0,274.4,,,35.96,129.42611
2,3163,Camp Mujuk Center,Dec-18,836.0,668.8,,,35.96,129.42611
2,3163,Camp Mujuk Center,Jan-19,279.85,223.88,,,35.96,129.42611
2,3163,Camp Mujuk Center,Sep-19,1468.85,1175.08,,,35.96,129.42611
3,1127,Road House 400201,May-15,,,,,35.32059,138.86873
3,1127,Road House 400201,Jun-15,,,,,35.32059,138.86873
3,1127,Road House 400201,Sep-15,2499.75,1999.8,2499.75,1999.8,35.32059,138.86873
3,1127,Road House 400201,Oct-15,664.48,758.4,,,35.32059,138.86873
3,1127,Road House 400201,Nov-15,2375.49,2091.8,,,35.32059,138.86873
3,1127,Road House 400201,Dec-15,1066.0,852.8,,,35.32059,138.86873
3,1127,Road House 400201,Jan-16,-2293.64,875.2,,,35.32059,138.86873
3,1127,Road House 400201,Feb-16,10358.82,7571.85,,,35.32059,138.86873
3,1127,Road House 400201,Mar-16,14303.32,11041.6,,,35.32059,138.86873
3,1127,Road House 400201,Apr-16,3961.36,3276.0,,,35.32059,138.86873
3,1127,Road House 400201,May-16,4516.04,4191.2,,,35.32059,138.86873
3,1127,Road House 400201,Jun-16,17113.31,16008.4,,,35.32059,138.86873
3,1127,Road House 400201,Jul-16,6176.65,3540.0,,,35.32059,138.86873
3,1127,Road House 400201,Aug-16,6291.27,4649.6,,,35.32059,138.86873
3,1127,Road House 400201,Sep-16,3710.13,5741.45,68243.23,60598.3,35.32059,138.86873
3,1127,Road House 400201,Oct-16,16841.09,10325.45,,,35.32059,138.86873
3,1127,Road House 400201,Nov-16,2851.92,2982.75,,,35.32059,138.86873
